flavor,rating,customer_id,rating_date
Classic Chocolate,4.5,CUST001,7/5/2024
Strawberry Swirl,3.8,CUST002,7/10/2024
Vanilla Bean,4.2,CUST003,7/15/2024
Caramel Delight,3.5,CUST004,7/20/2024
Mocha Bean,,CUST005,7/25/2024
Classic Chocolate,4.5,CUST001,7/5/2024
Classic Chocolate,5,CUST006,8/1/2024
Strawberry Swirl,4,CUST007,8/2/2024
Vanilla Bean,3.9,CUST008,8/3/2024
Caramel Delight,4.8,CUST009,10/4/2024
Mocha Bean,2.5,CUST010,9/5/2024
Classic Chocolate,4.7,CUST011,10/6/2024
Strawberry Swirl,,CUST012,10/7/2024
Vanilla Bean,4.3,CUST013,10/8/2024
Caramel Delight,4.9,CUST014,10/9/2024
Mocha Bean,3.3,CUST015,8/10/2024
Classic Chocolate,1,CUST016,8/11/2024
Strawberry Swirl,6,CUST017,8/12/2024
Vanilla Bean,3,CUST018,8/13/2024
Caramel Delight,4.2,CUST019,8/14/2024
Mocha Bean,4.1,CUST020,8/15/2024
Classic Chocolate,3.7,CUST021,8/16/2024
Strawberry Swirl,3.9,CUST022,8/17/2024
Vanilla Bean,4.4,CUST023,8/18/2024
Caramel Delight,3.6,CUST024,8/19/2024
Mocha Bean,,CUST025,8/20/2024
Classic Chocolate,4.8,CUST026,8/21/2024
Strawberry Swirl,4.6,CUST027,8/22/2024
Vanilla Bean,4,CUST028,8/23/2024
Caramel Delight,4.4,CUST029,8/24/2024
Mocha Bean,3.2,CUST030,11/25/2024
Classic Chocolate,4.9,CUST031,11/26/2024
Strawberry Swirl,4.1,CUST032,11/27/2024
Vanilla Bean,3.3,CUST033,11/28/2024
Caramel Delight,3.8,CUST034,11/29/2024
Mocha Bean,4,CUST035,11/30/2024
Classic Chocolate,4.3,CUST036,12/1/2024
Strawberry Swirl,,CUST037,12/2/2024
Vanilla Bean,3.7,CUST038,12/3/2024
Caramel Delight,4.5,CUST039,12/4/2024
Mocha Bean,3.9,CUST040,12/5/2024
Classic Chocolate,4.4,CUST041,12/6/2024
Strawberry Swirl,3.5,CUST042,12/7/2024
Vanilla Bean,4.6,CUST043,12/8/2024
Caramel Delight,4.2,CUST044,2/9/2025
Mocha Bean,3.4,CUST045,2/10/2025
Classic Chocolate,,CUST046,2/11/2025
Strawberry Swirl,4,CUST047,2/12/2025
Vanilla Bean,4.1,CUST048,2/13/2025
Caramel Delight,4.3,CUST049,4/14/2025
Mocha Bean,3.7,CUST050,4/15/2025
Classic Chocolate,4.6,CUST051,4/16/2025
Strawberry Swirl,4.3,CUST052,4/17/2025
Vanilla Bean,3.8,CUST053,4/18/2025
Caramel Delight,,CUST054,6/19/2025
Mocha Bean,4.7,CUST055,6/20/2025
Classic Chocolate,4,CUST056,6/21/2025
Strawberry Swirl,4.2,CUST057,6/22/2025
